@relation RhymeFeatures-weka.filters.unsupervised.attribute.Remove-R26

@attribute class {BDP,Rakim,Nas,2Pac,RunDMC,50Cent,LilWayne,KoolGRap,BigDaddyKane,PublicEnemy,BIG,IceCube,LLCoolJ,Scarface,Fabolous,JayZ,BeastieBoys,Eminem,SlickRick,Redman,Andre3k,Nelly,DMX,BoneThugs,MCHammer}
@attribute Syllables_per_Line numeric
@attribute Syllables_per_Word numeric
@attribute Syllable_Variation numeric
@attribute Novel_Word_Proportion numeric
@attribute Rhymes_per_Line numeric
@attribute Rhymes_per_Syllable numeric
@attribute Rhyme_Density numeric
@attribute End_Pairs_per_Line numeric
@attribute End_Pairs_Grown numeric
@attribute End_Pairs_Shrunk numeric
@attribute End_Pairs_Even numeric
@attribute Average_End_Score numeric
@attribute Average_End_Syl_Score numeric
@attribute Singles_per_Rhyme numeric
@attribute Doubles_per_Rhyme numeric
@attribute Triples_per_Rhyme numeric
@attribute Quads_per_Rhyme numeric
@attribute Longs_per_Rhyme numeric
@attribute Perfect_Rhymes numeric
@attribute Line_Internals_per_Line numeric
@attribute Links_per_Line numeric
@attribute Bridges_per_Line numeric
@attribute Compounds_per_Line numeric
@attribute Chaining_per_Line numeric

@data
Nas,12.875,1.303797,2.632642,0.889495,2.321429,0.180305,0.257975,0.392857,0.272727,0.181818,0.545455,4.308918,3.159873,0.7,0.238462,0.015385,0.030769,0.015385,0.130769,0.857143,0.375,0.696429,0.285714,0.053571
Nas,12.234375,1.236967,2.350148,0.923431,1.890625,0.154534,0.226054,0.5,0.28125,0.3125,0.40625,6.161822,3.943566,0.661157,0.239669,0.07438,0.024793,0,0.173554,0.625,0.234375,0.53125,0.21875,0.234375
Nas,12.050505,1.281418,1.838828,0.902499,1.838384,0.152557,0.234702,0.363636,0.25,0.305556,0.444444,4.90187,3.329572,0.587912,0.318681,0.06044,0.032967,0,0.115385,0.656566,0.30303,0.515152,0.050505,0.090909
2Pac,13.583333,1.481818,1.552328,0.914257,1.854167,0.136503,0.216258,0.375,0.055556,0.222222,0.722222,5.773225,3.996848,0.516854,0.404494,0.05618,0.022472,0,0.123596,0.729167,0.270833,0.479167,0,0.041667
2Pac,12.826087,1.384977,2.564849,0.924995,2.173913,0.169492,0.266102,0.543478,0.28,0.12,0.6,3.557589,2.869023,0.57,0.33,0.07,0.02,0.01,0.07,0.717391,0.478261,0.434783,0.108696,0.065217
2Pac,12.055556,1.264078,2.155241,0.924537,1.777778,0.147465,0.199693,0.351852,0.315789,0.105263,0.578947,4.227396,3.492197,0.708333,0.25,0.020833,0.020833,0,0.197917,0.481481,0.277778,0.666667,0.12963,0.037037
2Pac,12.173077,1.231518,2.109695,0.893741,1.576923,0.129542,0.187994,0.461538,0.125,0.208333,0.666667,4.319493,3.987225,0.585366,0.378049,0.036585,0,0,0.158537,0.423077,0.230769,0.461538,0.076923,0.019231
2Pac,12.961538,1.334653,2.425518,0.89584,1.807692,0.139466,0.207715,0.288462,0.4,0.2,0.4,6.774787,4.234242,0.648936,0.212766,0.138298,0,0,0.12766,0.673077,0.25,0.596154,0.153846,0.134615
2Pac,12.4375,1.275641,2.397101,0.909752,2,0.160804,0.232831,0.333333,0.1875,0.5,0.3125,4.54998,3.639984,0.71875,0.166667,0.0625,0.052083,0,0.052083,0.708333,0.416667,0.541667,0.166667,0.395833
2Pac,11.064516,1.238267,1.998959,0.906915,1.209677,0.109329,0.151603,0.387097,0.375,0.333333,0.291667,5.093075,3.819806,0.706667,0.213333,0.066667,0.013333,0,0.146667,0.322581,0.145161,0.354839,0.064516,0.048387
2Pac,11.372881,1.270833,2.550495,0.927561,1.610169,0.14158,0.193741,0.457627,0.296296,0.185185,0.518519,5.35635,3.527352,0.673684,0.294737,0.021053,0.010526,0,0.168421,0.423729,0.271186,0.457627,0.067797,0.033898
2Pac,13.169492,1.259319,2.656317,0.909159,1.728814,0.131274,0.194337,0.169492,0.3,0.1,0.6,4.752434,3.655718,0.598039,0.352941,0.029412,0.009804,0.009804,0.098039,0.610169,0.305085,0.644068,0.084746,0.016949
2Pac,12.26,1.290526,2.390063,0.92355,1.82,0.14845,0.215334,0.46,0.217391,0.130435,0.652174,3.369489,2.980702,0.648352,0.252747,0.098901,0,0,0.087912,0.7,0.24,0.42,0.06,0.08
2Pac,11.264151,1.233471,2.734482,0.916043,1.641509,0.145729,0.222781,0.396226,0.238095,0.52381,0.238095,6.417235,3.286876,0.551724,0.367816,0.08046,0,0,0.08046,0.528302,0.245283,0.471698,0.075472,0.283019
2Pac,13.085366,1.324691,2.514355,0.914227,2.085366,0.159366,0.258155,0.280488,0.043478,0.217391,0.73913,4.867309,3.392367,0.502924,0.409357,0.064327,0.011696,0.011696,0.134503,0.719512,0.292683,0.792683,0.170732,0.256098
2Pac,13.632353,1.345428,2.571932,0.89957,1.75,0.128371,0.199569,0.367647,0.24,0.08,0.68,5.772733,3.519959,0.563025,0.336134,0.084034,0.016807,0,0.10084,0.588235,0.279412,0.514706,0.102941,0.102941
2Pac,12.352941,1.26506,2.573039,0.91426,1.607843,0.130159,0.195238,0.411765,0.285714,0.238095,0.47619,5.130104,3.366631,0.560976,0.390244,0.036585,0.012195,0,0.097561,0.411765,0.215686,0.568627,0.019608,0.078431
2Pac,12.653061,1.362637,2.810701,0.950564,2,0.158065,0.224194,0.530612,0.307692,0.269231,0.423077,6.147099,3.995614,0.642857,0.295918,0.061224,0,0,0.112245,0.591837,0.428571,0.44898,0.061224,0
2Pac,13.070175,1.295652,2.126356,0.906728,1.561404,0.119463,0.181208,0.45614,0.384615,0.115385,0.5,6.37719,3.947784,0.58427,0.348315,0.044944,0.011236,0.011236,0.157303,0.473684,0.175439,0.45614,0.070175,0.087719
2Pac,12.037037,1.377119,3.066926,0.960882,1.5,0.124615,0.172308,0.388889,0.333333,0.333333,0.333333,6.112386,3.8897,0.654321,0.308642,0.037037,0,0,0.08642,0.518519,0.222222,0.37037,0.074074,0.055556
2Pac,12.729167,1.342857,2.766915,0.918866,1.666667,0.130933,0.204583,0.291667,0.142857,0.5,0.357143,5.528599,4.073704,0.575,0.3125,0.0875,0.025,0,0.125,0.520833,0.208333,0.645833,0.083333,0.145833
2Pac,11.754717,1.238569,2.322212,0.927262,1.716981,0.146067,0.23114,0.396226,0.095238,0.333333,0.571429,5.800574,4.35043,0.681319,0.175824,0.076923,0.043956,0.021978,0.087912,0.54717,0.169811,0.603774,0.037736,0.207547
2Pac,11.566038,1.256148,2.631517,0.914167,1.566038,0.1354,0.184339,0.471698,0.52,0.16,0.32,4.700673,3.672401,0.722892,0.204819,0.060241,0.012048,0,0.072289,0.641509,0.207547,0.245283,0.113208,0.113208
2Pac,12,1.311475,2.287648,0.935266,1.783333,0.148611,0.2125,0.4,0.125,0.25,0.625,5.733916,4.04747,0.672897,0.252336,0.046729,0.028037,0,0.17757,0.616667,0.25,0.516667,0.083333,0.216667
2Pac,12.863636,1.223343,2.073544,0.905154,1.560606,0.121319,0.180212,0.515152,0.205882,0.117647,0.676471,5.58818,3.65381,0.601942,0.330097,0.048544,0.019417,0,0.174757,0.454545,0.242424,0.348485,0.106061,0.045455
2Pac,10.652174,1.186441,2.257523,0.935935,1.608696,0.15102,0.210204,0.5,0.217391,0.347826,0.434783,5.188566,3.729282,0.689189,0.256757,0.027027,0.027027,0,0.216216,0.434783,0.23913,0.434783,0.021739,0.108696
2Pac,12.145833,1.281319,2.26375,0.908806,1.666667,0.137221,0.200686,0.3125,0.2,0.266667,0.533333,5.716106,4.287079,0.6,0.3625,0.0125,0.025,0,0.125,0.395833,0.25,0.708333,0.125,0.208333
2Pac,12.358491,1.304781,2.835718,0.901012,1.849057,0.149618,0.236641,0.396226,0.285714,0.190476,0.52381,5.361016,3.631656,0.571429,0.326531,0.061224,0.030612,0.010204,0.081633,0.566038,0.264151,0.622642,0.075472,0.113208
